Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G002700	W_box_WRKY	1.5602	-193	-188
GohirA01G002700	Nac_box_NAC	2.7879	-405	-400
GohirA01G002700	Myb_box3_MYB	2.2243	-958	-953
GohirA01G002700	G_box2_bZIP	2.2054	-546	-541
GohirA01G002700	HSE1_HSF	0.9780	-186	-179
GohirA01G002700	HSE1_HSF	0.9780	-426	-419
GohirA01G002700	G_box_bHLH	3.3766	-718	-713
GohirA01G002700	Myb_box5_MYB	1.4117	-958	-953
GohirA01G002700	Myb_box5_MYB	1.4117	-82	-77
GohirA01G002700	Myb_box5_MYB	1.4117	-80	-75
GohirA01G002700	AuxRE_ARF	2.7876	-714	-709
GohirA01G002700	Myb_box1_MYB	1.5224	-958	-953

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G005101	Myb_box3_MYB	2.8476	-340	-335
GohirA01G005101	Myb_box3_MYB	2.8476	-848	-843
GohirA01G005101	Myb_box3_MYB	2.8476	-14	-9
GohirA01G005101	Myb_box2_MYB	3.7266	-410	-405
GohirA01G005101	Myb_box1_MYB	3.7594	-949	-944
GohirA01G005101	Myb_box1_MYB	3.7594	-951	-946
GohirA01G005101	W_box_WRKY	2.9367	-684	-679
GohirA01G005101	HSE1_HSF	0.7688	-87	-80
GohirA01G005101	HSE1_HSF	0.7688	-679	-672
GohirA01G005101	Myb_box5_MYB	3.7028	-951	-946
GohirA01G005101	Myb_box5_MYB	3.7028	-949	-944
GohirA01G005101	G_box2_bZIP	2.9521	-184	-179

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G009900	Myb_box5_MYB	2.6185	-634	-629
GohirA01G009900	Myb_box5_MYB	2.6185	-621	-616
GohirA01G009900	Myb_box5_MYB	2.6185	-790	-785
GohirA01G009900	W_box_WRKY	2.0442	-307	-302
GohirA01G009900	G_box2_bZIP	2.8025	-603	-598
GohirA01G009900	HSE1_HSF	2.3279	-80	-73
GohirA01G009900	Myb_box1_MYB	2.7515	-634	-629

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G020600	AuxRE_ARF	2.5141	-180	-175
GohirA01G020600	Myb_box5_MYB	1.9343	-712	-707
GohirA01G020600	Myb_box5_MYB	1.9343	-520	-515
GohirA01G020600	N_box_bHLH	3.1161	-359	-354
GohirA01G020600	Nac_box_NAC	2.6284	-296	-291
GohirA01G020600	GCC_box_AP2_EREBP	3.7997	-121	-116
GohirA01G020600	GCC_box_AP2_EREBP	3.7997	-163	-158
GohirA01G020600	GCC_box_AP2_EREBP	3.7997	-137	-132
GohirA01G020600	Myb_box2_MYB	2.5379	-519	-514

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G025900	Nac_box_NAC	3.4755	-462	-457
GohirA01G025900	HSE1_HSF	1.4633	-109	-102
GohirA01G025900	HSE1_HSF	1.4633	-602	-595
GohirA01G025900	Myb_box5_MYB	1.7917	-812	-807

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G025950	HSE1_HSF	1.8544	-503	-496
GohirA01G025950	HSE1_HSF	1.8544	-371	-364
GohirA01G025950	Myb_box2_MYB	3.1951	-236	-231
GohirA01G025950	Myb_box1_MYB	2.4271	-376	-371
GohirA01G025950	C_ABRE_bZIP	4.0439	-736	-731
GohirA01G025950	AuxRE_ARF	3.0060	-442	-437
GohirA01G025950	Myb_box5_MYB	2.3423	-376	-371

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G036700	Myb_box3_MYB	2.7752	-827	-822
GohirA01G036700	Myb_box1_MYB	3.6423	-16	-11
GohirA01G036700	G_box_bHLH	4.1564	-72	-67
GohirA01G036700	G_box_bHLH	4.1564	-83	-78
GohirA01G036700	Myb_box5_MYB	3.6267	-16	-11
GohirA01G036700	N_box_bHLH	4.3061	-86	-81
GohirA01G036700	HBE_HB	2.1811	-405	-397

Gene	 TF_Name	 Z-Score	 Start	 End
GohirA01G045200	HSE1_HSF	2.5596	-312	-305
GohirA01G045200	Myb_box5_MYB	2.0646	-638	-633
GohirA01G045200	Myb_box5_MYB	2.0646	-636	-631
GohirA01G045200	Myb_box5_MYB	2.0646	-359	-354
GohirA01G045200	Myb_box5_MYB	2.0646	-670	-665
GohirA01G045200	Myb_box5_MYB	2.0646	-92	-87
GohirA01G045200	Myb_box5_MYB	2.0646	-94	-89
